variant,model,accuracy,device
clahe,resnet18_logreg,0.9219858156028369,cpu
gamma_light,resnet18_logreg,0.9219858156028369,cpu
raw,resnet18_logreg,0.9148936170212766,cpu
sharpen_light,resnet18_logreg,0.9148936170212766,cpu
clahe_light,resnet18_logreg,0.9078014184397163,cpu
gamma_clahe_light,resnet18_logreg,0.9078014184397163,cpu
raw,knn,0.8156028368794326,
sharpen_light,knn,0.8085106382978723,
clahe,resnet18_knn,0.8014184397163121,cpu
gamma_clahe_light,resnet18_knn,0.8014184397163121,cpu
clahe_light,resnet18_knn,0.7943262411347518,cpu
gamma_light,knn,0.7943262411347518,
gamma_light,resnet18_knn,0.7943262411347518,cpu
gamma_clahe_light,knn,0.7943262411347518,
raw,resnet18_knn,0.7872340425531915,cpu
clahe,knn,0.7872340425531915,
sharpen_light,resnet18_knn,0.7872340425531915,cpu
clahe_light,knn,0.7801418439716312,
gamma_light,logreg,0.6453900709219859,
raw,logreg,0.6312056737588653,
sharpen_light,logreg,0.6312056737588653,
gamma_clahe_light,logreg,0.574468085106383,
clahe_light,logreg,0.5531914893617021,
clahe,logreg,0.5035460992907801,
gamma_light,tinycnn,0.46808510638297873,
raw,tinycnn,0.3900709219858156,
clahe,tinycnn,0.3546099290780142,
sharpen_light,tinycnn,0.3546099290780142,
gamma_clahe_light,tinycnn,0.3404255319148936,
clahe_light,tinycnn,0.2978723404255319,
